ChannelName,post_body_text,published_at,LikesCount,SharesCount,CommentsCount,ViewsCount,is_safety_related
The Atlanta Journal-Constitution,"With more than 100 sculptures, art installations and murals, the Atlanta Beltline is the largest outdoor public art collection in the Southeast. It’s hard to imagine that what became central to the project’s development began as an afterthought.",2025-02-27T21:30:09.000Z,3.0,0.0,0.0,0.0,True
The Atlanta Journal-Constitution,"With more than 100 sculptures, art installations and murals, the Atlanta Beltline is the largest outdoor public art collection in the Southeast.

More from our partner ARTSATL.org:",2025-02-27T18:00:45.000Z,6.0,1.0,0.0,0.0,True
WABE News,"Matthew Rao, chair of BeltLine Rail Now, and Hans Klein, an associate professor in the School of Public Policy at the Georgia Institute of Technology, joined ""Closer Look"" to talk about their opposing visions for transit along the Beltline.
https://t.co/h32iYrsx4i",2025-02-27T01:00:00.000Z,1.0,1.0,1.0,216.0,True
Zack Pizzaz,"“Typically as you move further from tragedy, it grows further from the mind, but I’m encouraged people still care and people continue to come out and show support...Ahmaud’s life still means something to people.”

www.ajc.com/news/atlanta...",2025-02-26T14:48:17.857Z,7308.0,1289.0,63.0,0.0,True
Dj Mars,"Join us this Thursday  for some warm vibes on the Beltline 

Party people, join us for a special live Dj set at Just Add Honey. Yes, from 4pm-7pm today jjoin us as we provide some dope sounds, B-Sides and Tea. 

Pull up, vibe out with us and enjoy some groovy tunes as we get busy on the Beltline. 

@djshakim 
@djbobbyblack 
@djmars404 

684 John Wesley Dobbs Avenue
Unit E
Atlanta, GA 30312
United States

#atlanta #beltline #tea",2025-02-25T13:38:24.000Z,39.0,0.0,0.0,241.0,True
Gerald A. Griggs,"“The fight is not over until the last appeals are denied and until every single person that is a part of the cover-up is held accountable – we will continue to push for 100% justice for Ahmaud,” Attorney Gerald Griggs said.
#AhmaudArbery 
https://t.co/EvtPD1fUTw",2025-02-24T21:54:47.000Z,9.0,1.0,1.0,363.0,True
11Alive,The race was on Sunday afternoon on the scenic West End Trail of the Beltline.,2025-02-24T17:27:54.000Z,7.0,0.0,0.0,36.0,True
Because We Live Here,"I wish Trump could pardon the McMichael's... we still live with the shame of Ahmaud Arbery having a day in his honor in Georgia. Such a joke. Coddling black criminals as heroes... those days are ending. 

https://t.co/2gBPThZwmS",2025-02-24T17:27:35.000Z,31.0,0.0,1.0,303.0,True
AJC,"Hundreds of runners from local running groups gathered at the Atlanta Beltline’s West End Trail Sunday for a memorial run five years after Ahmaud Arbery’s murder.

Arbery's mother was in attendance and thanked them “for continuing to run with Ahmaud.”

“Typically as you move further from tragedy, it grows further from the mind, but I’m encouraged people still care and people continue to come out and show support,” said J.R. Hughes, a member of the South Fulton Running Partners. “Ahmaud’s life still means something to people.”

Thousands nationwide also participated with a promise that people have not forgotten the 25-year-old Black man, who was chased down and killed while jogging near Brunswick.

🖋️: Ashley Ahn / AJC
📷: Ben Gray for the Atlanta Journal-Constitution",2025-02-24T15:30:50.000Z,4132.0,0.0,27.0,0.0,True
The Atlanta Journal-Constitution,"Hundreds of runners from local running groups including South Fulton Running Partners #SFRP, Movers And Pacers and Black Men Run gathered at the Atlanta Beltline’s West End Trail Sunday for a memorial run five years after Ahmaud Arbery’s murder 👉 https://bit.ly/4gTVEoI",2025-02-24T15:30:37.000Z,60.0,8.0,1.0,0.0,True
