ChannelName,post_body_text,published_at,LikesCount,SharesCount,CommentsCount,ViewsCount,is_safety_related,compound_score,sentiment,cluster
Congresswoman Nikema Williams,"The winter wonderland most of us woke up to see is pretty, but hazardous for travel! 

Our area remains under a winter storm warning, please stay safe and avoid travel. ❄️☃️

",2025-01-10T14:59:20.000Z,1.0,1.0,0.0,0.0,True,0.5093,positive,2
WSB-TV,Winter storm conditions are making the roads dangerous. MARTA is pausing bus services until it's safer.,2025-01-10T14:57:17.000Z,277.0,138.0,51.0,0.0,True,-0.0772,negative,2
11Alive,The deadly shooting of a MARTA bus driver over a $2.50 fare has reignited calls for increased security measures on metro Atlanta buses.,2025-01-07T11:00:01.000Z,97.0,8.0,31.0,0.0,True,0.5423,positive,1
Atlanta News First ,"Police said the third suspect in the deadly shooting of a MARTA bus driver turned himself in.

SUBSCRIBE and turn on notifications so you don't miss any videos: https://bit.ly/3SS3Avs 

For more stories check out  https://www.atlantanewsfirst.com/ 

FOLLOW US for more! 
Like Atlanta News First on Facebook: https://bit.ly/3EcIseI 
Follow Atlanta News First on Twitter: https://bit.ly/3SQcVmV 
Follow Atlanta News First Instagram: https://bit.ly/3rdWMMg 
Follow Atlanta News First Tik Tok: https://bit.ly/3RC8U4p",2025-01-07T05:03:15.000Z,47.0,0.0,0.0,527.0,True,0.3803,positive,1
11Alive,The deadly shooting of a MARTA bus driver over a $2.50 fare has reignited calls for increased security measures on metro Atlanta buses.,2025-01-07T02:59:36.000Z,8.0,0.0,0.0,307.0,True,0.5423,positive,1
Spiritual Word,"On January 3, 2025, a tragic event unfolded at Decatur Station when a MARTA bus driver, Leroy Ramos, aged 47, was fatally shot during a dispute over a $2.50 fare. Ramos, a father of three who had moved to Atlanta from New York and had only been with MARTA since October 2024, was killed in an altercation that turned violent, involving three individuals. The incident has sparked a significant outcry for improved safety measures for transit workers. Two of the three suspects have been apprehended, but the search continues for the third. This senseless act of violence has left the community in mourning and raised concerns about the safety of public transit employees.",2025-01-05T16:41:02.000Z,16088.0,0.0,1924.0,0.0,True,-0.9428,negative,1
Atlanta News First ,"MARTA’s Garnett Station was shut down down Friday morning due to an “emergency situation,” according to the transportation authority.

SUBSCRIBE and turn on notifications so you don't miss any videos: https://bit.ly/3SS3Avs 

For more stories check out  https://www.atlantanewsfirst.com/ 

FOLLOW US for more! 
Like Atlanta News First on Facebook: https://bit.ly/3EcIseI 
Follow Atlanta News First on Twitter: https://bit.ly/3SQcVmV 
Follow Atlanta News First Instagram: https://bit.ly/3rdWMMg 
Follow Atlanta News First Tik Tok: https://bit.ly/3RC8U4p",2024-12-27T18:22:03.000Z,4.0,0.0,0.0,428.0,True,0.624,positive,2
Atlanta News First ,"MARTA’s Garnett Station was shut down down Friday morning due to an “emergency situation,” according to the transportation authority.

Several fire trucks and at least one ambulance were seen at the station. The circumstances of the incident are currently unknown.

The situation was cleared at around 7 a.m. Bus shuttles were available at the Oakland City, West End, Garnett and Five Points stations, but have since been discontinued.

To compensate for the disruption to service, the transportation service is offering an $8 voucher for Uber or Lyft rides.

This is a developing story. Check back with Atlanta News First as we learn more.

https://www.atlantanewsfirst.com/2024/12/27/garnett-station-shut-down-after-emergency-situation-marta-says/

#atlanta #atlantanewsfirst #atlantanews #georgia #georgianews #atlantaweather #marta",2024-12-27T15:14:41.000Z,24.0,0.0,0.0,721.0,True,-0.5574,negative,2
Hope Atlanta,"With only five days left in 2024, you can be a lifeline of compassion. At Hope Atlanta, we provide emergency assistance to individuals and families who need immediate help—whether it’s a warm meal, finding shelter or access to critical resources to get through the hardest of times.

From MARTA stations to the streets, our team is on the ground offering hope and care to those facing unimaginable challenges.

Every gift you make today provides urgent support for those in crisis and helps bring stability to their lives.
Link in bio. 

 #HomeForTheHolidays #HopeAtlanta",2024-12-26T18:28:19.000Z,6.0,0.0,0.0,0.0,True,0.9217,positive,2
Hope Atlanta,"With only five days left in 2024, you can be a lifeline of compassion. At Hope Atlanta, we provide emergency assistance to individuals and families who need immediate help—whether it’s a warm meal, finding shelter or access to critical resources to get through the hardest of times.

From MARTA stations to the streets, our team is on the ground offering hope and care to those facing unimaginable challenges.

Every gift you make today provides urgent support for those in crisis and helps bring stability to their lives.

https://give.hopeatlanta.org/campaign/fy2024-end-of-year-general-campaign/c634984

 #HomeForTheHolidays #HopeAtlanta",2024-12-26T18:28:17.000Z,0.0,0.0,0.0,0.0,True,0.9217,positive,2
