ChannelName,post_body_text,published_at,LikesCount,SharesCount,CommentsCount,ViewsCount,is_safety_related,compound_score,sentiment
Rough Draft Atlanta,"Just three weeks after Lucian Books & Wine received a semifinalist nod for Outstanding Wine Program from the James Beard Foundation, owners Jordan Smelt and Katie Barringer announced they will open Sargent next spring along the Eastside Beltline. 

Named for American portrait artist John Singer Sargent, the couple’s second Atlanta restaurant will become the latest edition to the New City development in the Old Fourth Ward. The sprawling Beltline complex is also home to MailChimp, plant shop The Victorian, Burle’s Bar, and the Forth Hotel with its restaurants Il Premio, Elektra, Moonlight, and Bar Premio.

Located in a ground floor space beside 3 Parks Wine Shop and seating around 150 people, Sargent will feature a full bar serving cocktails, an expanded retail section selling books, a private dining room, and a covered patio. Expect wood-fired dishes influenced by American cuisine from Lucian executive chef Jason Paolini and a wine list from Smelt leaning heavily into domestic producers. ➡️ Read more about Sargent at the link in bio.",2025-02-12T22:03:53.000Z,477.0,0.0,6.0,0.0,True,0.6124,positive
AJC,"Doctors recommend walking, but for many Atlantans, it’s too dangerous.

Researchers at Arizona State University were actually able to prove that being forced to drive everywhere is making Americans unhappy. But experts say the inadequacy of Atlanta’s biking and walking infrastructure not only creates dangers for pedestrians but also affects the overall health of the city’s residents.

And although Atlanta’s Beltline project has vastly improved walkability in several parts of the city, only 25% of the city’s population lives near it, according to The Conservation Fund.

✍️📹📸 Michael Scaturro | AJC",2025-01-17T16:37:11.000Z,996.0,0.0,62.0,0.0,True,-0.8511,negative
FOX 5 Atlanta,"In Atlanta’s Cabbagetown neighborhood, residents say they are fed up with what they’ve described as repeated incidents of “indecent exposure"" over the years. One frustrated woman says police tell her it isn't a crime. https://t.co/fi3E35RSPc",2024-12-23T23:10:07.000Z,2.0,1.0,6.0,2129.0,True,-0.1406,negative
FOX 5 Atlanta,"In Atlanta’s Cabbagetown neighborhood, residents say they are fed up with what they’ve described as repeated incidents of “indecent exposure"" over the years. One frustrated woman says police tell her it isn't a crime. https://t.co/BMr6mFbDHU",2024-12-23T12:50:07.000Z,0.0,0.0,0.0,1558.0,True,-0.1406,negative
FOX 5 Atlanta,"In Atlanta’s Cabbagetown neighborhood, residents say they are fed up with what they’ve described as repeated incidents of “indecent exposure” over the years. One frustrated woman says police tell her it isn't a crime.",2024-12-23T05:10:06.000Z,54.0,9.0,62.0,0.0,True,-0.1406,negative
FOX 5 Atlanta,"In Atlanta’s Cabbagetown neighborhood, residents say they are fed up with what they’ve described as repeated incidents of “indecent exposure” over the years. One frustrated woman says police tell her it isn't a crime. https://t.co/9rw45AReWP",2024-12-23T04:20:05.000Z,2.0,3.0,1.0,1404.0,True,-0.1406,negative
AccessAtlanta,S’mores and Holiday Cocktails on the Beltline 🎄❄️ Ladybird Grove & Mess Hall has the best holiday pop up thru December. Grab your friends and head over to roast s’mores and toast to the season. Their holiday cocktails are the perfect fireside companion this winter and their menu is packed with goodies. 🔥🍻 🗓️ Now thru December ⏰ Times vary; see website 🅿️ Free parking available 📍Old Fourth Ward - 684 John Wesley Dobbs Ave NE Unit J Head to the 🔗 in bio for more info! @ladybirdatl  #accessatlanta #thingstodoinatlanta #atl #atlanta #holidaybar #popupbar #ladybirdatl #ladybirdatlanta #smores #atlantabeltline #eastsidebeltline #christmasaesthetic #christmasvibes #christmasaestheticvibes ,2024-12-20T22:20:58.000Z,48.0,14.0,0.0,1636.0,True,0.9647,positive
Rough Draft Atlanta,"The Atlanta Beltline has purchased a shuttered Buckhead nightclub where it plans to build a key segment of the Northwest Trail.

On Thursday, Mayor Andre Dickens and Atlanta Beltline Inc. President and CEO Clyde Higgs announced the acquisition of the Elleven45 Lounge at 2110 Peachtree Road NW. The Beltline acquired the roughly one-acre site for $11 million.

The controversial nightclub was the scene of a fatal shooting in the early morning hours of May 12. Two people were killed and two wounded. One arrest was made in the shooting. The city of Atlanta shut the nightclub down months later after a Fulton Superior Court judge ruled the venue a public nuisance. 

The nightclub property was needed to complete Segment 2 of the Northwest Trail located near Piedmont Atlanta Hospital, the largest employer in the Beltline Planning Area.

This segment is a 0.7-mile stretch being built outside the railroad corridor starting at the southwest corner of Bobby Jones Golf Course, running east along Colonial Homes Circle, and then passing under Peachtree Road. A construction date for Segment 2 is not yet known.

🚲 Read more in @dyanabagby’s report at the link in our bio.",2024-11-08T13:30:34.000Z,239.0,0.0,7.0,0.0,True,-0.8271,negative
Atlanta Business Chronicle,The nightclub was the scene of a deadly shooting in May and was later shut down. https://t.co/Km2N14lX4o,2024-11-07T20:15:09.000Z,1.0,1.0,0.0,636.0,True,0.0,neutral
11Alive,The troubled Elleven45 Lounge was shut down after a shooting earlier this year.,2024-11-07T17:45:43.000Z,0.0,0.0,0.0,34.0,True,-0.4588,negative
Atlanta News First ,"In May, two people were killed and four others were injured during a mass shooting inside the club, after which the city ordered it to shut down.

SUBSCRIBE and turn on notifications so you don't miss any videos: https://bit.ly/3SS3Avs 

For more stories check out  https://www.atlantanewsfirst.com/ 

FOLLOW US for more! 
Like Atlanta News First on Facebook: https://bit.ly/3EcIseI 
Follow Atlanta News First on Twitter: https://bit.ly/3SQcVmV 
Follow Atlanta News First Instagram: https://bit.ly/3rdWMMg 
Follow Atlanta News First Tik Tok: https://bit.ly/3RC8U4p",2024-11-07T17:37:31.000Z,7.0,0.0,0.0,281.0,True,-0.6113,negative
The Atlanta Journal-Constitution,"The Beltline acquired 2110 Peachtree Rd. NW, formerly the Elleven 45 Lounge, the scene of a fatal Mother’s Day shooting this year that prompted a judge to declare the business a public nuisance, shutting it down.",2024-11-07T16:00:54.000Z,3.0,0.0,3.0,0.0,True,-0.5423,negative
GeorgiaAHA,Join us on Sat. Sept 14 at 10 a.m. on the Beltline (near Ponce City Market) as we takeover Hills4ATL again to learn how your support can help eliminate the dangers of menthol and protect the health of our Atlanta community. https://t.co/WEqCvQLqtj ❤️ https://t.co/oi69tOjidE,2024-09-12T19:36:55.000Z,0.0,0.0,0.0,38.0,True,0.7184,positive
11Alive,"11Alive SkyTracker flew over the scene, where you can see crime scene tape in front of the tunnel of the connector trail.",2024-07-18T17:06:41.000Z,13.0,0.0,4.0,0.0,True,-0.5423,negative
